time,lat,lon,fixType,diffSoln,carrSoln,hAcc_m
1776149580.885579,37.5997619,127.0440055,3,1,1,0.34500000000000003
1776149580.9962785,37.5997621,127.0440044,3,1,1,0.34600000000000003
1776149581.0969417,37.5997623,127.0440036,3,1,0,0.35000000000000003
1776149581.1875532,37.5997625,127.0440026,3,1,1,0.34500000000000003
1776149581.288249,37.5997631,127.0440015,3,1,1,0.342
1776149581.3889058,37.5997629,127.0440009,3,1,1,0.339
1776149581.4895756,37.5997632,127.044,3,1,1,0.337
1776149581.5902302,37.5997631,127.0439991,3,1,1,0.334
1776149581.6908674,37.5997634,127.043998,3,1,1,0.332
1776149581.7915177,37.5997638,127.0439969,3,1,1,0.33
1776149581.892174,37.599764,127.0439963,3,1,1,0.33
1776149581.9928164,37.599764,127.0439952,3,1,1,0.329
1776149582.0934594,37.5997641,127.0439945,3,1,1,0.33
1776149582.194102,37.5997645,127.0439934,3,1,1,0.327
1776149582.2947338,37.5997646,127.0439927,3,1,1,0.325
1776149582.3953688,37.5997649,127.0439916,3,1,1,0.324
1776149582.4960196,37.5997653,127.0439907,3,1,1,0.324
1776149582.5865772,37.5997657,127.0439903,3,1,1,0.325
1776149582.6872368,37.5997656,127.0439891,3,1,0,0.328
1776149582.7878737,37.5997659,127.0439879,3,1,0,0.332
1776149582.888494,37.5997663,127.0439871,3,1,0,0.336
1776149582.9891279,37.5997666,127.0439863,3,1,0,0.34
1776149583.0897667,37.5997665,127.0439852,3,1,0,0.34400000000000003
1776149583.1904538,37.5997668,127.0439844,3,1,1,0.336
1776149583.2911267,37.599767,127.0439833,3,1,1,0.329
1776149583.3917933,37.5997672,127.0439825,3,1,1,0.323
1776149583.4924445,37.5997674,127.043981,3,1,1,0.317
1776149583.583033,37.5997677,127.0439805,3,1,1,0.315
1776149583.6937563,37.5997677,127.0439796,3,1,1,0.313
1776149583.7944007,37.5997675,127.0439781,3,1,1,0.311
1776149583.8950477,37.5997673,127.0439771,3,1,1,0.31
1776149583.9956913,37.5997674,127.0439761,3,1,1,0.308
1776149584.096334,37.5997675,127.0439753,3,1,1,0.307
1776149584.1969755,37.5997674,127.0439745,3,1,1,0.307
1776149584.2976243,37.5997673,127.0439738,3,1,1,0.308
1776149584.3982966,37.5997669,127.043973,3,1,1,0.308
1776149584.4888911,37.5997665,127.0439724,3,1,1,0.308
1776149584.589538,37.5997662,127.0439712,3,1,1,0.309
1776149584.6902194,37.5997659,127.0439708,3,1,1,0.31
1776149584.7908628,37.5997655,127.0439699,3,1,1,0.311
1776149584.8915021,37.599765,127.0439689,3,1,1,0.311
1776149584.9921408,37.5997647,127.0439685,3,1,1,0.312
1776149585.0927866,37.5997643,127.0439674,3,1,1,0.312
1776149585.1934505,37.5997638,127.0439667,3,1,1,0.311
1776149585.2940965,37.5997634,127.0439662,3,1,1,0.311
1776149585.3847067,37.5997624,127.0439655,3,1,1,0.312
1776149585.4954457,37.5997618,127.043965,3,1,1,0.312
1776149585.596111,37.5997612,127.0439643,3,1,1,0.313
1776149585.6967957,37.5997606,127.0439635,3,1,1,0.314
1776149585.787492,37.59976,127.0439629,3,1,1,0.315
1776149585.8882155,37.5997595,127.0439624,3,1,1,0.316
1776149585.988916,37.5997587,127.0439619,3,1,1,0.318
1776149586.0996368,37.5997584,127.0439614,3,1,1,0.319
1776149586.1902199,37.5997576,127.0439608,3,1,1,0.317
1776149586.3009436,37.5997569,127.0439601,3,1,1,0.316
1776149586.391593,37.5997564,127.0439596,3,1,1,0.316
1776149586.4922638,37.5997559,127.0439592,3,1,1,0.317
1776149586.5929284,37.5997554,127.0439586,3,1,1,0.318
1776149586.6936002,37.5997547,127.0439581,3,1,1,0.318
1776149586.7943246,37.5997541,127.0439574,3,1,1,0.319
1776149586.8949893,37.5997539,127.0439567,3,1,1,0.32
1776149586.9956527,37.5997531,127.0439564,3,1,1,0.321
1776149587.0962856,37.5997526,127.0439561,3,1,1,0.323
1776149587.1869469,37.5997521,127.0439556,3,1,1,0.319
1776149587.2977083,37.5997517,127.0439552,3,1,1,0.316
1776149587.398386,37.5997512,127.0439545,3,1,1,0.313
1776149587.4990757,37.5997508,127.0439541,3,1,1,0.314
1776149587.5997424,37.5997503,127.0439537,3,1,1,0.315
1776149587.6903462,37.5997496,127.0439532,3,1,1,0.317
1776149587.791083,37.5997492,127.0439526,3,1,1,0.318
1776149587.9018295,37.5997485,127.0439521,3,1,1,0.318
1776149587.9924014,37.5997481,127.0439517,3,1,1,0.32
1776149588.0931098,37.5997474,127.0439512,3,1,1,0.321
